self,title,artifact,image,thumbnail,materials,dimensions,date,origin,distance,collection,link,license,link2,ledger,department,customer,page,origin2,production1,production2,materials2,description,author,book,publisher,author2,book2,publisher2,unit,pounds,pounds2,dollars,analytics,Thumb1,Thumb2,Thumb3,Thumb4,Thumb5,Thumb6,Thumb7,New Description,Notes,Notes2
Rum,Rum,Tavern bottle,Rum.jpg,RumThumbnail.jpg,Ceramic,,Post 1760,England,,Alexandria Archaeology Museum,https://www.alexandriava.gov/Archaeology,Public Domain,https://en.wikipedia.org/wiki/Public_domain,RumLedger.jpg,Alcohol,James Hamilton,57,"While some rum was imported directly from the West Indies, it was more cost efficient to import molasses from the West Indies and produce rum in the North American colonies. Therefore rum also served an important role as a colonial export to Europe.",AmericanColonies,,WestIndies,"Rum was the most popular alcoholic beverage in colonial America. It was produced predominantly from distilled molasses, though sugarcane was used as well. It was consumed straight, diluted, or commonly in punch.",John J. McCusker.,Rum and the American Revolution: The Rum Trade and the Balance of Payments of the Thirteen Continental Colonies.,"Garland New York, 1989.","Tonya Hopkins. ""Rum."" In",The Oxford Encyclopedia of Food and Drink in America.,"Oxford University Press, 2004.",,"3 shillings, 4 pence per gallon",22.7,37.4,"The databases record fifty-one purchases of rum, far outnumbering a single purchase of spirits and two purchases of wine. Rum was sold by quarter, half, or gallon increments for four or five shillings per gallon, though a few purchases were by the bottle. Two purchase of rum and bottle, one for fourteen pence and the other for one shilling nine pence indicate that customers often brought their own vessel to fill. Rum was purchased by both men and women, but with far greater frequency by men.",Paper,Sugar,Linen,Thread,Hose,Osnaburg,Check,,,
Spirits,Spirits,"The Gin Shop Displayed (detail), Carington Bowles",Spirits.jpg,SpiritsThumbnail.jpg,Mezzotint engraving,"OH: 10 3/4"" x OW: 16 1/4""; Plate H: 10"" x W: 14""",Ca. 1770,"England, London",,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:15954,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,SpiritsLedger.jpg,Alcohol,Captain Robert Mirrie,52,,,,,,,,,,,,,6 shillings,40.8,67.3,The databases only record one purchase of spirits. Captain Robert Mirrie purchased five gallons of spirits for six shillings.,Rum,Tea,Shot,Sugar,Lace,,,*,,
Wine,Wine,Wine Bottle,Wine.jpg,WineThumbnail.jpg,Tin-glazed earnthenware (delft),"H: 6 3/4""",1650,"England, London",,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:28968,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,WineLedger.jpg,Alcohol,William Reagan,77,,,,,,,,,,,,,2 shillings,13.6,22.4,"The databases record only two purchases of wine, both sold by the bottle for two shillings. One is identified as port.",KnittingNeedles,Sugar,Buckles1,Shoes,Shot,Thread,Ginger,*,,
Glass,Glass Pane,Glass window pane,Glass.jpg,GlassThumbnail.jpg,Glass Pane,,18th Century,,,"Carlisle House, Alexandria, VA",https://www.novaparks.com/parks/carlyle-house-historic-park,Public Domain,https://en.wikipedia.org/wiki/Public_domain,GlassLedger.jpg,Building,Mrs. Sarah Wigginton,19,"While some glass was produced in the British Colonies, much was imported from England, thus making such an item even more exclusive.",England,,,Recent scholarship suggests that the use of window glass was one of many features contributing to the laborious process of producing a relatively elite home during the eighteenth century. Large windows were a way to publicly display the growing wealth of some families at this time.,"Cary Carson & Carl R. Lounsbury, ed.,",The Chesapeake House: Architectural Investigation by Colonial Williamsburg,"(Chapel Hill: University of North Carolina Press, in association with the Colonial Williamsburg Foundation, 2013).","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",18 panes,7 pence,3.97,6.54,"The databases record twenty-four purchases of glass from the Ramsay databases. They are priced by the pane of glass, but variations of size or quantity are not noted. The quantities range from two to ninety individual panes. Their prices ranged from four and a quarter pence for twenty-four panes to fifteen shillings for twenty-four panes.",ChestLock,Nail,Salt,Thread,WomensCloak,Tea,Shot,,,
Hinge,Hinge,Hinge,Hinge.jpg,HingeThumbnail.jpg,Metal,,1780s,"Jefferson Parish, Louisiana","1,116.5 mi",Infrogmation of New Orleans via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NMP_1780s_House_interior_Bedroom_1_Hinge_Moustache_2.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,HingeLedger.jpg,Building,Nathaniel Smith,111,,,,,"Hinges were crucial for including functioning doors in eighteenth century buildings. They were also markers of evolving tastes and opportunities. For example, scholars note that ""H hinges"" depend on more complex joinery. Other hinge types displayed taste through the use of decorative flourishes such as the mustache style hinge.","Cary Carson & Carl R. Lounsbury, ed.,",The Chesapeake House: Architectural Investigation by Colonial Williamsburg,"(Chapel Hill: University of North Carolina Press, in association with the Colonial Williamsburg Foundation, 2013).","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",1 pair,9 pence,5.1,8.41,"The databases record twenty-nine purchases of hinges, eight of which were dovetail hinges, five ""H hinges,"" along with various other types. People purchased between one and eight pairs of hinges, though most only bought one, two, or three pairs. These range in price from four pence for two pair to one pound three shillings for two pair.",Nail,Hose,Osnaburg,Button,Mohair,Thread,Cards,,,
Latch,Latch,Latch,Latch.jpg,LatchThumbnail.jpg,Metal,,Eighteenth Century,"Ruckersville, Georgia",550 mi.,Liz Jandoli via WikiMedia Commons,"https://commons.wikimedia.org/wiki/File:Detail_of_door_latch,_northwest_corner_of_parlor_6A,_53-Ruck.v,_1A-_-_Alexander-Cleveland_Farm,_County_Road_238,_Ruckersville,_Elbert_County,_GA_HABS_GA,53-RUCK.V,1-13.tif",Public Domain,https://en.wikipedia.org/wiki/Public_domain,LatchLedger.jpg,Building,John Gist,35,,,,,"Like other pieces of building hardware, latches were part of the visual status cues of the colonial British American built environment. Earlier in the eighteenth century, latches were common. They ranged from simple to highly decorated. As time went on, however, these devices came to be seen as unrefined. Locks that elegantly hid the works of a latch became the new fashion.","Cary Carson & Carl R. Lounsbury, ed.,",The Chesapeake House: Architectural Investigation by Colonial Williamsburg,"(Chapel Hill: University of North Carolina Press, in association with the Colonial Williamsburg Foundation, 2013).","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",1,"1 shilling, 8 pence",11.3,18.6,"The databases record five latch purchases sold in quantities of one to two. In price, these range from six pence for two latches to fourteen shillings for one.",Primer,Shoes,Bridle,Pot,Needle,Thimble,Nail,,,
Lock,Lock,Lock,Lock.jpg,LockThumbnail.jpg,"Iron, steel, brass & paint",14” x 7.5”,1800-1820,America,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:80247,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,LockLedger.jpg,Building,James Hamilton,57,"There are documented locksmiths in the British colonies and many locks would likely have been produced locally; however locks were also imported from British production centers, such as Birmingham.",England,Birmingham,,"Early, inexpensive locks were made of wood. They were more complex than simple latches, but nonetheless did not require the same amount of skill as forged locks. Wealthy homeowners in the Chesapeake preferred brass (over iron) locks. These were used in both formal spaces as well as areas for storage.","Cary Carson & Carl R. Lounsbury, ed.,",The Chesapeake House: Architectural Investigation by Colonial Williamsburg,"(Chapel Hill: University of North Carolina Press, in association with the Colonial Williamsburg Foundation, 2013).","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",1,8 pence,4.53,7.47,"The databases record twenty-one lock purchases. They include cupboard, chest, and other types of locks. In price, these range from eight pence for one lock to eight pounds for one lock.",Paper,Sugar,Linen,Thread,Hose,Osnaburg,Check,,"Curren LockLedger.jpg is for a chest lock, please change",
Nail,Nails,Nails,Nail.jpg,NailThumbnail.jpg,Nails,,,,,Macarthur via Pixabay,https://pixabay.com/en/nails-rust-old-iron-nail-antique-443340/,CC0 Public Domain,https://creativecommons.org/publicdomain/zero/1.0/deed.en,NailLedger.jpg,Building,Gaven Lamphier,286,"While nails were frequently made by local blacksmiths, they were also imported from British production centers, such as Birmingham.",England,Birmingham,,"Nails were small, hand-wrought pieces of metal used to secure two or more pieces of wood or other materials together. At the beginning of the eighteenth century, even these items were relatively rare in homes. As with other types of building hardware, the more a home made use of things like nails, the wealthier the inhabitants. Nails could vary drastically in their size and shape, though they were always much longer than they were wide. Machine-made nails appeared toward the end of the eighteenth century and expanded during the beginning of the nineteenth century. These allowed for hinges, locks, and other features to be even more neatly tucked away.","Cary Carson & Carl R. Lounsbury, ed.,",The Chesapeake House: Architectural Investigation by Colonial Williamsburg,"(Chapel Hill: University of North Carolina Press, in association with the Colonial Williamsburg Foundation, 2013).","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",200,18 pence for 200,10.2,16.8,"The databases record sixty-eight purchases of nails of various types and sizes. Many purchases were made by the weight of nails (approximately 1000), others by quantity ranging from two hundred to sixteen hundred. Nails were distinguished by size and weight. In price, these varied from eight pence for two-hundred nails to four shillings six pence for two weight of nails.",Scissors,Osnaburg,Paper,Salt,Shoes,Sugar,Rum,,,
Rope,Rope,Rope and other hemp products,Rope.jpg,RopeThumbnail.jpg,Hemp,,Colonial,"Williamsburg, VA",150 mi.,Image Courtesy of The Colonial Williamsburg Foundation,history.org/foundation/journal/winter15/hemp.cfm,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,RopeLedger.jpg,Building,Brigantine Alexandria,351,Hemp was widely grown throughout the American colonies and would have been processed and spun into rope locally.,AmericanColonies,,AmericanColonies,"Rope could be made of either hemp or flax because of their strength and durability. Hemp was the more common material for rope because of the shorter fibers of the flax plant and because flax plants yield lower amounts of fiber than hemp. Although rope had a variety of uses on land, it was used in the highest volume at sea where it was used in the rigging of sails.","Ben Swenson. “Hemp & Flax in Colonial America,”",CW Journal,Winter 2015.,,,,2 Coils,"3 pounds, 10 pence",414,682,"The databases record five purchases of rope, three of which are to the account of the Brigantine Alexandria. Two of these are identified as twice laid rope, and they are identified by numbers. Rope was sold by the coil, bolt, or by weight. The prices range drastically from six pence for two bolts of unspecified rope to three pounds and ten pence for two coils of twice laid rope.",Salt,Glass,Nail,Needle,,,,,,
Steel,Steel,Round head stake,Steel.jpg,SteelThumbnail.jpg,Steel and Iron,"OL: 15 1/2"" Diameter of head: 3 1/8""",1750-1830,England or America,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:98380,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,SteelLedger.jpg,Building,Mary Janey,92,"As a raw material, steel was not abundant in colonial America, and therefore it was typically imported from England.",England,,,"Although the refinement and mass production of steel around 1850 made it a common and readily available building material in the industrial revolution, steel was produced in smaller batches in the eighteenth century by British masters. The technology of cast steel was popularized in the 1740s by Benjamin Huntsman and was used to make a wide variety of products such as shoe buckles, spurs, and candle snuffers, many of which were sold in the Ramsay store. When steel was sold by weight on its own, it was likely sold as building material.","Evans, Chris and Alun Withey. ""An Enlightenment in Steel? Innovation in the Steel Trades of Eighteenth-Century Britain.""",Technology and Culture.,"53, no. 3 (07, 2012): 533-560.","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",22 lbs,5 pence,2.83,4.67,"The databases record only three purchases of steel. Surprisingly, two of the three purchases were made by women, Mary and Hannah Janey. Steel was sold by weight and ranged from four to nine pence.",Nail,Osnaburg,Paper,Cinnamon,Nutmeg,Handkerchief,Pot,,Fleshed out description with more info on 18thcentury steel production.,Look up steel used for matches
Tar,Tar,Tar,Tar.jpg,TarThumbnail.jpg,Tar,,,,,Alf Inge Myhre Tunheim via WikiMedia Commons,https://commons.wikimedia.org/wiki/Category:Tar#/media/File:Corn_Stover_Tar_from_Pyrolysis_by_Microwave_Heating.jpg,CC BY 2.5,http://creativecommons.org/licenses/by/2.5/,TarLedger.jpg,Building,Brigantine Alexandria,351,,,,,"Early on, tar was used as a weather-proof coating for external walls. With increased wealth and more advanced building techniques, tar became less necessary and certainly less common among the homes of elites. All of the purchases of tar in the Ramsay databases were either by captains or on the account of a ship, this tar was likely used for weatherproofing and sealing ships.","""Tar."" In","The Oxford Companion to Ships and the Sea,","edited by Dear, I. C. B., and Peter Kemp. : Oxford University Press, 2006.","Gabrielle M. Lanier & Bernard L. Herman,",Everyday Architecture of the Mid-Atlantic: Looking at Buildings and Landscapes,"(Baltimore: Johns Hopkins University Press, 1997).",1 barrel,"12 pounds, 6 shillings per barrel","£1,670.00",2433.36,The databases record five purchases of tar in quantities of one to three barrels. It sold consistently for twelve pounds six shillings per barrel.,Salt,Glass,Nail,Needle,Rope,,,,,
Breeches,Leather Breeches,Leather Breeches,Breeches.jpg,BreechesThumbnail.jpg,Leather,"OL: 33"" Inseam: 22"" Waist 31 1/2""",1820-1825,America,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:1731,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,BreechesLedger.jpg,Clothing,Captain George Mercer,359,"Most of the ready to wear clothing sold in the Ramsay store would have been imported from England. Textiles were one of the largest departments of the store, indicating that most customers made their own clothing.",England,,,"Breeches are a men's lower body garment that typically terminated just below the knee. The breeches could be closed and fastened by either buttons or by a draw-string, but in the eighteenth century, decorated buckles were often used both the fasten the breeches and as fashion accessories. Breeches were largely covered by the long coats and waistcoats popular at the time.",,,"Accessed February 26, 2017. https://www.history.org/history/clothing/men/mglossary.cfm",,,,1 pair,"7 shillings, 6 pence",51,84.1,"The databases record eight purchases of breeches. Four of these are leather, three are knitted, and the eighth is qualified as better. Their prices range from seven shillings six pence to eighteen shillings nine pence.",Pot,Hat,Hose,Shoes,Garter,Silk,KnittingNeedles,,,
ChildsStays,Child's Stays,Green Child's Stays,ChildsStays.jpg,ChildsStaysThumbnail.jpg,"Worsted wool satin, boned and lined with linen",waist 17 in. Center front length 7.5 inches,174-1760,England or America,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:19611,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,ChildsStaysLedger.jpg,Clothing,Anthony Russell,359,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,Stays are a form of undergarment which utilize stiff boning to alter the wearer's posture and body shape. In the eighteenth century young girls and boys alike wore stays during development in order to develop straight posture. Several credits to women customers for stays mending in Ramsay’s accounts indicate that some form of staymaking or repairing was associated with his business.,Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986), 74.",,,,1 pr.,"12 shillings, 6pence",85,140,"The databases record twenty-two purchases of stays. The databases record three pairs of child's stays and four pairs of girl's stays, indicating that patrons purchased stays for both young boys and girls. The prices for children's stays range from twelve shillings six pence for a pair of child's stays to fourteen shillings ten and a half pence for a pair of girl's tabby breasted stays.",Osnaburg,,,,,,,,g,
Cravat,Cravat,Man's Cravat,Cravat.jpg,CravatThumbnail.jpg,Linen lace,11 x 6 1/2 in. ( 27.94 x 16.51 cm),Ca. 1795,France,"6,271 km",LACMA,http://collections.lacma.org/node/233757,Public Domain,http://www.lacma.org/about/contact-us/terms-use,CravatLedger.jpg,Clothing,James Joiner Atherton,93,Most of the clothing accessories sold in the Ramsay store would have been imported from England.,England,,,"A cravat was the precursor to the modern tie. It consisted of a rectangular piece of fabric, typically lace, linen, or lawn, which was tied around a man's neck covering the collar to his shirt. These could be tied with varying levels of intricacy depending on the social status of the man, and the function he was attending.",Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986), 51.",Linda Baumgarten.,What Clothes Reveal: The Language of Clothing in Colonial and Federal America,"(New Haven: Colonial Williamsburg Foundation in association with Yale University Press, 2002).",2,3 shillings,20.4,33.6,The databases record only one purchase of two cravats for three shillings.,Check,Osnaburg,ShoeBuckle,Hose,Cotton,Shoes,Thread,,,
Garter,Garter,Garter,Garter.jpg,GarterThumbnail.jpg,Silk,"W: 1 1/4""; L: 39""",1725,England,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:13137,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,GarterLedger.jpg,Clothing,Captain George Mercer,359,"Most of the clothing accessories sold in the Ramsay store would have been imported from England, though simple garters could be locally produced.",England,,,"Garters were an undergarment used to hold up the hose or stockings of men, women, and children in colonial America. With the exception of knit stockings, most hose and stockings were made of cut and seamed fabric and given the limited elasticity of available materials were unable to stay up on their own.","""Garter."" In","The Oxford Dictionary of Phrase and Fable,","edited by Knowles, Elizabeth. : Oxford University Press, 2005.",,,,1 pr.,9 pence,5.1,8.41,"The databases record fifteen pairs of garters. Even though The databases record no qualifiers used to indicate quality, their prices range from three pence to two shillings six pence.",Pot,Hat,Hose,Shoes,Breeches,Silk,KnittingNeedles,,,
